Nom;Commune;Pages Web;Remarques;Lieu;Classement;Lat;Lon
Dolmens de Gabaudet Dolmen n° 1;Issendolus;https://fr.wikipedia.org/wiki/Dolmens de Gabaudet;Base Mérimée PA00095109 ;2 dolmens;Classé MH 1934;44.71487;1.75141
Dolmens de Gabaudet Dolmen n° 2;Issendolus;https://fr.wikipedia.org/wiki/Dolmens de Gabaudet;Base Mérimée PA00095109 ;2 dolmens;Classé MH 1934;44.71392;1.75299
Dolmen des Jasses ;Labastide-Marnhac;https://fr.wikipedia.org/wiki/Dolmen des Jasses;;autre nom Dolmen de Peyre Levade;;44.378129;1.361078
Dolmen de la Croix Blanche ;Lachapelle-Auzac;https://fr.wikipedia.org/wiki/Dolmen de la Croix Blanche;;;;44.92361;1.49028
Dolmen de la Pierre-Levée ;Lalbenque;;;;;44.325189;1.575974
Dolmen des Cartayroux ;Lanzac;;;autre nom Dolmen de Cieurac;;44.88677;1.45867
Dolmens de la Borie du Bois ;Laramière;;Base Mérimée PA00095123 ;2 dolmens <brautre nom <brDolmen de Peyro Levado (dolmen n° 1);Classé MH 1984;44.3503;1.8443
Dolmens de Marcigaliet  Dolmen A;Laramière;https://fr.wikipedia.org/wiki/Dolmens de Marcigaliet ;Base Mérimée PA00095124 ;6 dolmens;Classé MH 1989<br<small>(dolmen n° 1)</small>;44.3641;1.8528
Dolmens de Marcigaliet  Dolmen B;Laramière;https://fr.wikipedia.org/wiki/Dolmens de Marcigaliet ;Base Mérimée PA00095124 ;6 dolmens;Classé MH 1989<br<small>(dolmen n° 1)</small>;44.360311;1.852119
Dolmens du Mas de Jantou Dolmen A;Larnagol;https://fr.wikipedia.org/wiki/Dolmens du Mas de Jantou;Base Mérimée PA00095126 ;5 dolmens<br autres noms<br Peyro Levado (Mas de Jeantou n° 1) <br Peyro Cotado (Mas de Jeantou n° 2);Classé MH 1989 <small>(Peyro Cotado)</small>;44.49211;1.75173
Dolmens du Mas de Jantou Dolmen B;Larnagol;https://fr.wikipedia.org/wiki/Dolmens du Mas de Jantou;Base Mérimée PA00095126 ;5 dolmens<br autres noms<br Peyro Levado (Mas de Jeantou n° 1) <br Peyro Cotado (Mas de Jeantou n° 2);Classé MH 1989 <small>(Peyro Cotado)</small>;44.49240;1.75324
Dolmens du Mas de Jantou Dolmen A;Larnagol;https://fr.wikipedia.org/wiki/Dolmens du Mas de Jantou;Base Mérimée PA00095126 ;5 dolmens<br autres noms<br Peyro Levado (Mas de Jeantou n° 1) <br Peyro Cotado (Mas de Jeantou n° 2);Classé MH 1989 <small>(Peyro Cotado)</small>;44.92033;1.751389
Dolmens du Mas de Jantou Dolmen B;Larnagol;https://fr.wikipedia.org/wiki/Dolmens du Mas de Jantou;Base Mérimée PA00095126 ;5 dolmens<br autres noms<br Peyro Levado (Mas de Jeantou n° 1) <br Peyro Cotado (Mas de Jeantou n° 2);Classé MH 1989 <small>(Peyro Cotado)</small>;44.48820;1.75470
Dolmen de Surgès ;Lavercantière;https://fr.wikipedia.org/wiki/Dolmen de Surgès;Base Mérimée PA46000063 ;;Inscrit MH 2014;44.6203;1.3047
Pierre Levée (Lentillac-du-Causse) ;Lentillac-du-Causse;https://fr.wikipedia.org/wiki/Pierre Levée (Lentillac-du-Causse);Base Mérimée PA00095133 ;autre nom <brDolmen de Peyrelevade;Classé MH 1989;44.553162;1.647689
Dolmen des Bouygues ;Lentillac-du-Causse;;;;;44.55028;1.64528
Les Trois Pierres ;Les Junies;;;dolmen<brautre nom Dolmen de Quetty Clottes p118 ;;44.532575;1.217111
Menhirs de Roquebert ;Les Junies;;;authenticité douteuse Clottes p117 ;;44.5225;1.22306
Dolmen dAgranel ;Limogne-en-Quercy;https://fr.wikipedia.org/wiki/Dolmen d'Agranel;Base Mérimée PA00095137 ;;Classé MH 1959;44.4161;1.7847
Dolmen de Ferrières-Haut ;Limogne-en-Quercy;https://fr.wikipedia.org/wiki/Dolmen de Ferrières-Haut;Base Mérimée PA00095138 ;;Classé MH 1959;44.381586;1.740562
Dolmen de Joncas ;Limogne-en-Quercy;https://fr.wikipedia.org/wiki/Dolmen de Joncas;Base Mérimée PA00095139 ;;Inscrit MH 1959;44.39;1.7519
Dolmen de Pajot ;Limogne-en-Quercy;https://fr.wikipedia.org/wiki/Dolmen de Pajot;Base Mérimée PA00095140 ;;Classé MH 1959;44.3877;1.7799
Dolmen de Pech-Lapeyre ;Limogne-en-Quercy;https://fr.wikipedia.org/wiki/Dolmen de Pech-Lapeyre;Base Mérimée PA00095141 ;autre nom Dolmen du Lac dAurié;Classé MH 1889;44.4019;1.7523
Dolmen de la Croze ;Livernon;;;autre nom Dolmen de Pech Mage;;44.634522;1.869945
Dolmen de la Cun ;Livernon;;Clottes 1977 p = 141   - ;;;44.63557;1.87695
Dolmen de la Pierre Martine ;Livernon;https://fr.wikipedia.org/wiki/Dolmen de la Pierre Martine;:6  - Base Mérimée PA00095143 ;;Inscrit MH 1889;44.6608;1.8209
Dolmen de Peych Peyroux ;Livernon;https://fr.wikipedia.org/wiki/Dolmen de Peych Peyroux;:6  - Base Mérimée PA00095142 ;autre nom Dolmen des Pouzats;Inscrit MH 1980;44.621088;1.870117
Dolmen de Rougié ;Livernon;;;;;44.66147;1.82055
Dolmen du Mas de Tourelle ;Livernon;;:6  - ;;;44.62885;1.85263
Dolmens de la Terre Dolmen A;Livernon;;:6  - ;2 dolmens;;44.63267;1.88947
Dolmens de la Terre Dolmen B;Livernon;;:6  - ;2 dolmens;;44.63781;1.88961
Dolmens de Vichelle ;Livernon;;;3 dolmens  n° 2 sur Espédaillac :7>Clottes 1977 p = 142 ;;44.64494;001.81033
Dolmens du Cloup Caoud  Dolmen A;Livernon;;:5  - ;2 dolmens; ;44.63432;1.87741
Dolmens du Cloup Caoud  Dolmen B;Livernon;;:5  - ;2 dolmens; ;44.63376;1.87786
Menhir de Bélinac ;Livernon;https://fr.wikipedia.org/wiki/Menhir de Bélinac;:5  - Base Mérimée PA00095146 ;;Classé MH 1978;44.6352;1.859
Dolmen dHoraste ;Loubressac;;;;;44.851867;1.803860
Dolmen de Croix Hélène ;Loubressac;;;autre nom Dolmen des Breilles;;44.86028;1.7657
Dolmens de Pech Plumet Pech Plumet A;Loubressac;;;2 dolmens;;44.8542;1.769771
Dolmens de Pech Plumet Pech Plumet B;Loubressac;;;2 dolmens;;44.85445;1.774736
Dolmen de la Terre de Lacoste ;Loubressac;;;;;44.86237;1.75773
Dolmen des Combes Nègres ;Lugagnac;;;Carrière à coté;;44.412386;1.707243
Dolmen du Mas de Rastouillet ;Lugagnac;;;autre nom Grezo-de-Pouèto;;44.422709;1.738342
Dolmen de la Devèze ;Marcilhac-sur-Célé;https://fr.wikipedia.org/wiki/Dolmen de la Devèze;Base Mérimée PA46000006 ;;Inscrit MH 1997;44.5411;1.752
Dolmen de Majourals ;Marcilhac-sur-Célé;;;;;44.536933;1.813248
Dolmen des Combes-Hautes ;Marcilhac-sur-Célé;;;autre nom Dolmen de Pailhès-Nord;;44.5675;1.76194
Dolmen Mas Jean-Blanc ;Marcilhac-sur-Célé;;;autre nom Dolmen de la Borie-Haute;;44.551561;1.802579
Dolmens de la Combe de Saule Dolmen n° 1;Marcilhac-sur-Célé;https://fr.wikipedia.org/wiki/Dolmens de la Combe de Saule;Base Mérimée PA46000056 ;3 dolmens;Dolmen n° 2<br Inscrit MH 2012;44.538542;1.815138
Dolmens de la Combe de Saule Dolmen n° 2;Marcilhac-sur-Célé;https://fr.wikipedia.org/wiki/Dolmens de la Combe de Saule;Base Mérimée PA46000056 ;3 dolmens;Dolmen n° 2<br Inscrit MH 2012;44.539894;1.814594
Dolmens de la Combe de Saule Dolmen n° 3;Marcilhac-sur-Célé;https://fr.wikipedia.org/wiki/Dolmens de la Combe de Saule;Base Mérimée PA46000056 ;3 dolmens;Dolmen n° 2<br Inscrit MH 2012;44.541877;1.813557
Dolmen de Gniars ;Miers;;;autre nom Dolmen de Ferrières; ;44.87694;1.70361
Dolmen de la Carture ;Miers;;;;;44.86139;1.6875
Dolmen de Peyrebru ;Miers;;;;;44.883409;1.695960
Dolmen du Pech des Auques ;Miers;https://fr.wikipedia.org/wiki/Dolmen du Pech des Auques;;;;44.87389;1.6722
Dolmens des Barrières Dolmen n° 2;Miers;https://fr.wikipedia.org/wiki/Dolmens des Barrières;Base Mérimée PA46000057 ;3 dolmens<br autre nom Dolmen de la Pierre-Levée (dolmen n° 3);Dolmen n° 3 <brInscrit MH 2012;44.869971;1.689734
Dolmens des Barrières Dolmen n° 3;Miers;https://fr.wikipedia.org/wiki/Dolmens des Barrières;Base Mérimée PA46000057 ;3 dolmens<br autre nom Dolmen de la Pierre-Levée (dolmen n° 3);Dolmen n° 3 <brInscrit MH 2012;44.8688;1.6838
Dolmens des Fieux ;Miers;;;2 dolmens :8 ; ;44.87972;1.69333
Dolmen de Roland ;Montcuq;;;autre nom Dolmen de Font Auda :9 ;;44.367667;1.189744
Dolmen du Pech Nadal ;Montcuq;;;autre nom Dolmen de Tartugier :9 ;;44.316278;1.251944
Dolmen de Cambajou ;Montfaucon_(Lot);;;;;44.67167;1.6194
Dolmen de la Pechette ;Montfaucon_(Lot);;;;;44.685;1.56083
Dolmen de la Pierre Basse ;Montfaucon_(Lot);;;;;44.67444;1.60722
Pierre levée du Pech des Lèbres ;Montfaucon_(Lot);;;menhir probable :mnh probable>Article auteur1 = Guy Maynard titre = Nouvelles pierres dressées  possibles menhirs périodique = Bulletin de la Société des Études du Lot numéro = 3e fascicule année = 1998 issn = 0755-2483 lire en ligne =  pages =  volume = CXIX;;44.69556;1.62833
Menhir de Courtis ;Montgesty;;;;;44.56889;1.30333
Dolmen de Barrade ;Montvalent;;;;;44.876587;1.656326
Dolmen de Barthe Soubronne ;Montvalent;;;;;44.86367;1.66004
Dolmen de la Pélasse ;Montvalent;;Clottes 1977 p = 164   - ;;;44.86119;1.63391
Dolmen de la Salardie ;Montvalent;;:11  - ;;;44.85508;1.63709
Dolmen de Liade ;Montvalent;;Clottes 1977 p = 162  ;;ruiné;44.872336;1.642781
Dolmen des Placels ;Montvalent;;;;;44.8499;1.6454
Dolmen dAndrieu ;Padirac;;;autre nom Dolmen du Champ de Monsieur;;44.85611;1.74139
Dolmen dEscurettes ;Padirac;;;;;44.855;1.74389
Dolmen de Bougoulat ;Padirac;;;;;44.865;1.783
Dolmen des Calcas ;Padirac;;:13 ;2 dolmens;autre nom Dolmens de Penot;44.85111;1.75917
Dolmen des Claouzelles ;Padirac;;;;;44.84194;1.7528
Dolmens des Pendus   Dolmen 2;Padirac;;Clottes 1977 p = 166  ;3 dolmens;1 détruit;44.8556;1.75667
Dolmens des Pendus Dolmen 3;Padirac;;Clottes 1977 p = 166  ;3 dolmens;1 détruit;44.85417;1.75528
Dolmen de la Bertrandoune ;Prayssac;https://fr.wikipedia.org/wiki/Dolmen de la Bertrandoune;Base Mérimée PA00095184 ;;Inscrit MH 1988;44.52842;1.21846
Dolmen du Champ de Cuzer ;Reyrevignes;;;;;44.63583;1.89889
Dolmens des Causses Hauts Dolmen A;Reyrevignes;;;2 dolmens;;44.65498;001.89927
Dolmens des Causses Hauts Dolmen B;Reyrevignes;;;2 dolmens;;44.65093;001.89597
Dolmen de la Rue ;Rocamadour;;;autre nom Dolmen Les Plantoux :17 ;;44.829222;1.651256
Dolmen de Lacalm ;Rocamadour;;;;;44.84831;1.65386
Dolmen de Magès ;Rocamadour;https://fr.wikipedia.org/wiki/Dolmen de Magès;Base Mérimée PA00095197 ;;Classé MH 1971;44.78667;1.61333
Dolmen du Pouget ;Rocamadour;;;;;44.828247;1.626928
Dolmens dEn Caminou ;Rocamadour;;:16 ;2 dolmens;1 ruiné;44.79958;1.66535
Dolmens du Pech de Gourbière ;Rocamadour;;:17 ;2 dolmens;  1 ruiné;44.82723;1.59711
Dolmen des Clos Grands ;Saillac (Lot);https://fr.wikipedia.org/wiki/Dolmen des Clos Grands;Base Mérimée PA00095213 ;;Inscrit MH 1959;44.3257;1.7021
Menhir de Saillac ;Saillac (Lot);;;;;44.331808;1.757306
Dolmen dAubin ;Saint-Chels;https://fr.wikipedia.org/wiki/Dolmen d'Aubin;Base Mérimée PA00095224 ;;Classé MH 1989;44.5468;1.8132
Dolmen des Agars ;Saint-Chels;https://fr.wikipedia.org/wiki/Dolmen des Agars;Base Mérimée PA00095223 ;;Classé MH 1989;44.5475;1.8176
Dolmen du Mas de Pezet ;Saint-Chels;https://fr.wikipedia.org/wiki/Dolmen du Mas de Pezet;Base Mérimée PA00095225 ;;Inscrit MH 1988;44.509;1.8015
Dolmen du Pech dAgaïo ;Saint-Chels;https://fr.wikipedia.org/wiki/Dolmen du Pech d'Agaïo;Base Mérimée PA00095226 ;;Classé MH 1989;44.544167;1.816667
Dolmens de Pech-Seret Dolmen A;Saint-Jean-de-Laur;;;4 dolmens <br autre nom Dolmens des Bories;;44.42194;1.80639
Dolmens de Pech-Seret Dolmen B;Saint-Jean-de-Laur;;;4 dolmens <br autre nom Dolmens des Bories;;44.41917;1.80444
Menhir de Peyreficade ;Saint-Jean-Lagineste;;;autre nom Menhir de Peyrusse :mnh probable ;;44.822354;1.867919
Cromlech de Peyrebrune ;Saint-Projet (Lot);;;;;44.73194;1.49861
Dolmen du Rat ;Saint-Sulpice (Lot);https://fr.wikipedia.org/wiki/Dolmen du Rat;Base Mérimée PA46000050 ;;Inscrit MH 2011;44.581134;1.782111
Menhir de la Pierre-Levée ;Saint-Vincent-Rive-d'Olt;;;;;44.449988;1.279792
Dolmen du Pech Curet ;Salviac;;;;;44.695830;1.286942
Dolmen du Cloup Prioun ;Sauliac-sur-Célé;;Base Mérimée PA46000058 ;;Inscrit MH 2012;44.5047;1.6878
Dolmen du Mas de Galdot ;Sauliac-sur-Célé;;;;;44.52806;1.724167
Dolmen de Bartassou ;Sérignac_(Lot);;;;;44.4472;1.07556
Dolmen des Garroustes ;Sérignac_(Lot);;;;;44.43861;1.10667
Dolmen des Fosses ;Soucirac;https://fr.wikipedia.org/wiki/Dolmen des Fosses;Base Mérimée PA00095261 ;;Classé MH 1989;44.70281;1.49333
Dolmen Laval ;Souillac;;Base Mérimée PA00095264 ;;Classé MH 1984;44.91583;1.45472
Dolmen de Surgès ;Thédirac;https://fr.wikipedia.org/wiki/Dolmen de Surgès;PA46000063 ;;Inscrit MH 2013;44.6203;1.3047
Dolmen de Salers Dolmen;Théminettes;;;dolmens adjacents  avec 2 tumulus-satellites :33 <brautre nom Dolmen des Places;;44.72147;1.84203
Dolmen de Salers Tumulus n° 1;Théminettes;;;dolmens adjacents  avec 2 tumulus-satellites :33 <brautre nom Dolmen des Places;;44.72119;1.84169
Dolmen de Salers Tumulus n° 2;Théminettes;;;dolmens adjacents  avec 2 tumulus-satellites :33 <brautre nom Dolmen des Places;;44.72141;1.84090
Dolmen du Mas de Gobi ;Varaire;;;autre nom Dolmen du Mas de Coti;;44.35889;1.73222
